TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,903139,903139,PA,Surtsey,Surtsey,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix),Marine,0,32.4239686882444,33.7,33.8355174019001,Not Reported,0,Inscribed,2008,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ISL,ISL,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,2068,2068_1,PA,Commune de Fakarava,Commune de Fakarava,Réserve de biosphère,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Marine,19670.04543,19668.9321607375,19844.904539,19844.9045385836,Not Reported,0,Designated,1977,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,2119,FRA,PYF,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,900879,900879,PA,Monte San Giorgio,Monte San Giorgio,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Terrestrial,0,0,10.8934,11.2321983654688,Not Applicable,0,Inscribed,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CHE;ITA,CHE;ITA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,198296,198296,PA,Area de Conservación Guanacaste,Zone de conservation de Guanacaste,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Coastal,0,451.116787717717,1470,1452.11788790424,Not Reported,0,Inscribed,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CRI,CRI,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,902368,902368,PA,St Kilda,Île de St Kilda,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(ix);(v);(vii);(x),Marine,0,245.347395210483,242.014004,253.949589092615,Not Reported,0,Inscribed,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,GBR,GBR,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,5003,5003,PA,Taï National Park,Parc national de Taï,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii);(x),Terrestrial,0,0,3300,3459.53369849757,Not Applicable,0,Inscribed,1982,Government-delegated management,Not Applicable,Not Reported,Not Applicable,Office Ivoirien des Parcs et Réserves,Existing,State Verified,946,CIV,CIV,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555784011,555784011,PA,Tugay forests of the Tigrovaya Balka Nature Reserve,Tugay forests of the Tigrovaya Balka Nature Reserve,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix),Terrestrial,0,0,497.86,492.505193488958,Not Applicable,0,Inscribed,2023,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,TJK,TJK,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555586837,555586837,PA,Kashtayit State Marine Conservation Area,Kashtayit State Marine Conservation Area,Marine Protected Area,Marine Protected Area,National,V,Not Applicable,Marine,0,5.07567522753256,5.2255050479,5.22550459469453,None,0,Designated,2012,Sub-national ministry or agency,Not Applicable,State,Not Applicable,State Fish and Wildlife,MPA Programmatic Management Plan,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,93290,93290,PA,Messel Pit Fossil Site,Site fossilifère de Messel,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Terrestrial,0,0,0.42,0.417164182963823,Not Applicable,0,Inscribed,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,DEU,DEU,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,902347,902347,PA,Cape Floral Region Protected Areas,Aires protégées de la Région florale du Cap,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Terrestrial,0,27.1924069121873,10947.42,11017.2777374462,Not Applicable,0,Inscribed,2004,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Cape Nature,Not Reported,State Verified,946,ZAF,ZAF,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555576546,555576546,PA,Munkhkhairkhan-Uenchiin khavtsal,Мөнххайрхан-Үенчийн хавцал,Байгалийн цогцолборт газар,National Park,National,II,Not Applicable,Terrestrial,0,0,5060.96701427,4937.81332789087,Not Applicable,0,Designated,2011,Government-delegated management,Not Applicable,State,Not Applicable,Ministry of Environment and Tourism,Not Reported,State Verified,1803,MNG,MNG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,478640,478640,PA,Hierapolis-Pamukkale,Hierapoli -Pamukkale,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(iv);(vii),Terrestrial,0,0,10.77,10.6499258607776,Not Applicable,0,Inscribed,1988,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,TUR,TUR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,902902,902902,PA,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains","Sanctuaires du grand panda du Sichuan - Wolong, Mont Siguniang et Montagnes de Jiajin",World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(x),Terrestrial,0,0,9245,9829.28094706338,Not Applicable,0,Inscribed,2006,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CHN,CHN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,17050,17050,PA,Mount Taishan,Mont Taishan,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(i);(ii);(iii);(iv);(v);(vi);(vii),Terrestrial,0,0,250,269.620959649677,Not Applicable,0,Inscribed,1987,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CHN,CHN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2570,2570,PA,Los Glaciares National Park,Parque Nacional Los Glaciares,Sitio Patrimonio de la Humanidad (natural o mixto),World Heritage Site (natural or mixed),International,Not Applicable,(vii);(viii),Terrestrial,0,0,7269.27,7194.53582258433,Not Applicable,0,Inscribed,1981,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10904,10904,PA,Lake Malawi National Park,Parc national du lac Malawi,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(vii);(x),Terrestrial,0,0,94,86.6729560444611,Not Applicable,0,Inscribed,1984,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,MWI,MWI,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555698179,555698179,PA,Chiribiquete National Park – “The Maloca of the Jaguar”,Chiribiquete National Park – “The Maloca of the Jaguar”,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(ix);(x),Terrestrial,0,0,27823.54,27797.6718413621,Not Applicable,0,Inscribed,2018,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Parques Nacionales Naturales de Colombia,Not Reported,State Verified,946,COL,COL,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,61610,61610,PA,Los Katíos National Park,Parc national de Los Katíos,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Terrestrial,0,7.07622911335796,720,808.907438928509,Not Applicable,0,Inscribed,1994,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,COL,COL,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,198395,198395,PA,Pulau Aur Marine Park,Pulau Aur Marine Park,Marine Park,Marine Park,National,II,Not Applicable,Marine,1.011817054,100.046995345546,1.011817054,101.189806662792,All ,1.011817054,Designated,1994,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Department of Fisheries (DOF),Not Reported,State Verified,1998,MYS,MYS,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,209777,209777_3,PA,Sviyazhsky / Great Volzhsko-Kamsky (part of),Great Volzhsko-Kamsky,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,208.99,78.4976822332927,Not Applicable,0,Designated,2005,Collaborative governance,Not Reported,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,840,RUS,RUS,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,903137,903137,PA,Saryarka – Steppe and Lakes of Northern Kazakhstan,Saryarka - Steppe et lacs du Kazakhstan septentrional,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Terrestrial,0,0,4503.44,4488.44265558887,Not Applicable,0,Inscribed,2008,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,KAZ,KAZ,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,61604,61604,PA,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Sites fossilifères de mammifères d'Australie (Riversleigh / Naracoorte),World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(viii),Terrestrial,0,0,103.26,109.19846572692,Not Applicable,0,Inscribed,1994,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,AUS,AUS,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,5084,5084,PA,Killarney National Park,Killarney National Park,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,101.29,103.290250866824,Not Applicable,0,Designated,1982,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,509,IRL,IRL,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,12493,12493,PA,Barra del Colorado,Barra del Colorado,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,Terrestrial,0,4.52109021349108,811.534515768,811.535840805096,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Applicable,Joint ownership,Not Reported,Federal or national ministry or agency,Not Reported,State Verified,811,CRI,CRI,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555512226,555512226,PA,Khun Sathan,Khun Sathan,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,342.4567066,456.559723895134,Not Applicable,0,Proposed,0,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,"Department of National Park, Wildlife and Plant Conservation Office of National Park",Not Reported,State Verified,881,THA,THA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,349987,349987,PA,Eth. Parko Tzoumerkon-Peristeriou-charadras Arachthou-Periochi perifereiakis zonis Notioanatolikon Tzoumerkon (Zoni IVD),Eth. Parko Tzoumerkon-Peristeriou-charadras Arachthou-Periochi perifereiakis zonis Notioanatolikon Tzoumerkon (Zoni IVD),Periferiaki zoni Ethnikou Parkou,National Park - Peripheral zone,National,VI,Not Applicable,Terrestrial,0,0,12.2109741211,12.2033901856909,Not Applicable,0,Designated,2009,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,"Ministry of Environment, Energy and Climate Change - Directorate General for the Environment",Not Reported,State Verified,2013,GRC,GRC,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,124389,124389,PA,Okapi Wildlife Reserve,Réserve de faune à okapis,Site du Patrimoine Mondial (naturel ou mixte),World Heritage Site (natural or mixed),International,Not Applicable,(x),Terrestrial,0,0,13726.25,13939.5624588004,Not Applicable,0,Inscribed,1996,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,COD,COD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555622032,555622032,PA,Runnel Stone (Land's End),Runnel Stone (Land's End),Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,Marine,20,19.8254370186108,20,19.9487838034195,Not Reported,0,Designated,2016,Collaborative governance,Not Reported,Not Reported,Not Applicable,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,State Verified,883,GBR,GBR,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,900883,900883,PA,Phong Nha-Ke Bang National Park and Hin Nam No National Park,Phong Nha-Ke Bang National Park and Hin Nam No National Park,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(viii);(x),Terrestrial,0,0,2174.47,2189.7962481141,Not Applicable,0,Inscribed,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,LAO;VNM,LAO;VNM,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555679037,555679037,PA,Queen Anne's Revenge Shipwreck,Queen Anne's Revenge Shipwreck,Marine Protected Area,Marine Protected Area,National,IV,Not Applicable,Marine,0,0.23573539050702,0.2357353905,0.23573539050702,None,0,Designated,1997,Sub-national ministry or agency,Not Applicable,State,Not Applicable,State Department of Conservation,Site-Specific Management Plan,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,555632967,555632967,PA,"Landschaftsschutzgebiet ""Muschelkalkhänge nordwestlich Wecklingen"" (L 6709-303)","Landschaftsschutzgebiet ""Muschelkalkhänge nordwestlich Wecklingen"" (L 6709-303)",Landschaftschutzgebiet,Landscape Protection Area,National,V,Not Applicable,Terrestrial,0,0,0.1318000031,0.13176810366082,Not Applicable,0,Designated,2016,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Bundesamt für Naturschutz,Not Reported,State Verified,2013,DEU,DEU,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,14290,14290,PA,Dzibilchantún,Dzibilchantún,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,5.39439268,5.39154443714135,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Applicable,State,Not Applicable,National Commission of Natural Protected Areas,http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2015/DZILBILCHANTUN.pdf,State Verified,1850,MEX,MEX,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555614453,555614453,PA,Aua Village Marine Protected Area,Aua Village Marine Protected Area,Marine Protected Area,Marine Protected Area,National,V,Not Applicable,Coastal,0,0.299758955662326,0.3442438843,0.344242001017417,None,0,Designated,2003,Sub-national ministry or agency,Not Applicable,State,Not Applicable,State Fish and Wildlife,Community Agreement,State Verified,1848,USA,ASM,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555577556,555577556,PA,Stevns Klint,Stevns Klint,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Coastal,0,0.173303935386388,0.5,0.492070152537682,Not Reported,0,Inscribed,2014,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,DNK,DNK,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555586786,555586786,PA,Ted Harvey Conservation Area (Wildlife Area) Conservation Area,Ted Harvey Conservation Area (Wildlife Area) Conservation Area,Marine Protected Area,Marine Protected Area,National,VI,Not Applicable,Terrestrial,0,0.043021194787593,10.4698320447,10.4698341572026,None,0,Designated,1979,Sub-national ministry or agency,Not Applicable,State,Not Applicable,State Department of Natural Resources,Site-Specific Management Plan,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555746979,555746979,PA,Atlantic Coast Conservancy/Pelican Coast Conservancy Conservation Easement E201691A,Atlantic Coast Conservancy/Pelican Coast Conservancy Conservation Easement E201691A,Conservation Easement,Conservation Easement,National,Not Assigned,Not Applicable,Terrestrial,0,0,0.4416042677,0.441604388611474,Not Applicable,0,Designated,2016,Non-profit organisations,Not Applicable,Individual landowners,Not Applicable,Non-Governmental Organization,Not Reported,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555704125,555704125,PA,Chornobyl Radiation and Ecological Biosphere Reserve,Чорнобильський радіаційно-екологічний біосферний заповідник,Biosphere Reserve,Biosphere Reserve,National,Ia,Not Applicable,Terrestrial,0,0,2269,2272.03122094661,Not Applicable,0,Designated,2016,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Ministry of Ecology and Natural Resources of Ukraine,Not Reported,State Verified,2129,UKR,UKR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555762736,555762736,PA,Høkleberget,Høkleberget,Naturreservat,Nature Reserve,National,Ia,Not Applicable,Terrestrial,0,0,1.0757109833,1.07484985246417,Not Applicable,0,Designated,2023,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,"Norwegian Environment Agency, Protected Areas Section, Norway-7485 Trondheim",Not Reported,State Verified,2013,NOR,NOR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Point,20019,20019,PA,Mammoth Cave Area,Mammoth Cave Area,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,,3679.79,,Not Applicable,0,Designated,1990,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,988,USA,USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,9623,9623,PA,Historic Sanctuary of Machu Picchu,Sanctuaire historique de Machu Picchu,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(i);(iii);(ix);(vii),Terrestrial,0,0,381.6087,372.642601985455,Not Applicable,0,Inscribed,1983,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,PER,PER,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555658286,555658286,PA,A Batson,A Batson,PCL,PCL,National,V,Not Applicable,Terrestrial,0,0,0.0113169366,0.011316956839934,Not Applicable,0,Designated,0,Non-profit organisations,Not Applicable,Non-profit organisations,Not Applicable,Non-Governmental Organization,Not Reported,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,303818,303818,PA,Nyamakate Village,Nyamakate Village,Wildlife Management Area,Wildlife Management Area,National,Not Reported,Not Applicable,Terrestrial,0,0,0.7090176,183.119984243436,Not Applicable,0,Designated,2002,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1829,ZWE,ZWE,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,178784,178784,PA,Parco nazionale delle Cinque Terre,Parco nazionale delle Cinque Terre,Parco Nazionale,National Park,National,II,Not Applicable,Terrestrial,0,0.127338098278131,38.6,38.5992069125126,Not Applicable,0,Designated,1999,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,2013,ITA,ITA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,316960,316960,PA,En Malqoah,עין מלקוח,Nature Reserve,Nature Reserve,National,Not Assigned,Not Applicable,Terrestrial,0,0,0.0065484723,0.006548222673545,Not Applicable,0,Designated,1990,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Israel Nature and Parks Authority,Not Reported,State Verified,1706,ISR,ISR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,198291,198291,PA,Península Valdés,Península Valdés,Sitio Patrimonio de la Humanidad (natural o mixto),World Heritage Site (natural or mixed),International,Not Applicable,(x),Coastal,0,3456.54240138627,3600,10037.7606333435,Not Reported,0,Inscribed,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Point,12471,12471,PA,Forêt classée de la mare aux hippopotames,Forêt classée de la mare aux hippopotames,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,,1860,,Not Applicable,0,Designated,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,988,BFA,BFA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,67724,67724,PA,"Shark Bay, Western Australia","Baie Shark, Australie occidentale",World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(vii);(viii);(x),Coastal,0,15217.9758753353,22009.02,22000.780551601,Not Reported,0,Inscribed,1991,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,AUS,AUS,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,903135,903135,PA,Monarch Butterfly Biosphere Reserve,Reserva de la Biósfera de la Mariposa Monarca,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii),Terrestrial,0,0,135.51552,136.644053092603,Not Applicable,0,Inscribed,2008,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Ministry of the Environment and Natural Resources through the National Commission of Natural Protected Areas,Not Reported,State Verified,946,MEX,MEX,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,168201,168201,PA,Dana Biosphere Reserve,محمية ضانا للمحيط الحيوي,محمية محيط حيوي,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,0,291.704816,291.396972653903,Not Applicable,0,Designated,1993,Government-delegated management,Not Applicable,State,Not Applicable,The Royal Society for the Conservation of Nature (RSCN),Yes,State Verified,1688,JOR,JOR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2578,2578,PA,Djoudj National Bird Sanctuary,Parc national des oiseaux du Djoudj,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii);(x),Terrestrial,0,0,160,209.032857103319,Not Applicable,0,Inscribed,1981,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,SEN,SEN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,2018,2018,PA,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(vii);(viii);(x),Terrestrial,0,2322.58884366046,98391.21,97624.2682726437,Not Applicable,0,Inscribed,1979,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CAN;USA,CAN;USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,153062,153062,PA,2002450 Vedungsfjällen,2002450 Vedungsfjällen,Naturreservat,Nature Reserve,National,Ib,Not Applicable,Terrestrial,0,0,194.0140039062,194.013991879322,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,County Administrative Board and Local Authorities,Not Reported,State Verified,2013,SWE,SWE,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,365531,365531,PA,Bald Head Woods Coastal Reserve,Bald Head Woods Coastal Reserve,Marine Protected Area,Marine Protected Area,National,IV,Not Applicable,Terrestrial,0,0,0.7731374952,0.773137287126852,None,0,Designated,1994,Sub-national ministry or agency,Not Applicable,State,Not Applicable,State Department of Conservation ; State Department of Natural Resources,Site-Specific Management Plan,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Point,182066,182066,PA,Çinari (Foljeta) e Ganjollit,Çinari (Foljeta) e Ganjollit,Monument Natyre,Nature Monument (Category III IUCN),National,III,Not Applicable,Terrestrial,0,,0,,Not Applicable,0,Designated,2002,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,"Ministry of Environment, Forests and Water Administration",Not Reported,State Verified,2013,ALB,ALB,Not Applicable,Not Applicable,Not Reported,Not Applicable
Point,555547556,555547556,PA,Tasik Chini,Tasik Chini,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,,64.15,,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Pahang State Forestry Department,Not Reported,State Verified,1688,MYS,MYS,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555577559,555577559,PA,Trang An Landscape Complex,Complexe paysager de Trang An,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(v);(vii);(viii),Terrestrial,0,0,62.26,62.0721984571078,Not Applicable,0,Inscribed,2014,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,VNM,VNM,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,145583,145583,PA,Morne Trois Pitons National Park,Parc national de Morne Trois Pitons,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii);(x),Terrestrial,0,0,68.57,66.9887552589443,Not Applicable,0,Inscribed,1997,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,DMA,DMA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4328,4328,PA,Kahuzi-Biega National Park,Parc national de Kahuzi-Biega,Site du Patrimoine Mondial (naturel ou mixte),World Heritage Site (natural or mixed),International,Not Applicable,(x),Terrestrial,0,0,6000,6567.27778759401,Not Applicable,0,Inscribed,1980,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,COD,COD,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,9628,9628,PA,Vallée de Mai Nature Reserve,Vallée de Mai Nature Reserve,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(vii);(viii);(x),Terrestrial,0.195,0,0.195,0.196055113686123,Not Applicable,0,Inscribed,1983,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Seychelles Island Foundation,Not Reported,State Verified,946,SYC,SYC,Not Applicable,Not Applicable,Not Reported,Not Applicable
Point,2055,2055,PA,Berezinskiy Zapovednik,Berezinskiy Zapovednik,UNESCO-MAB Biosphere Reserve,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Terrestrial,0,,1139.29,,Not Applicable,0,Designated,1978,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,988,BLR,BLR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,12202,12202,PA,Gondwana Rainforests of Australia,Forêts humides Gondwana de l’Australie,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(viii);(x),Terrestrial,0,0,3700,3694.2528718068,Not Applicable,0,Inscribed,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,AUS,AUS,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555675765,555675765,PA,Brown CR,Brown CR,Conservation Easement,Conservation Easement,National,Not Assigned,Not Applicable,Terrestrial,0,0,0.000371678,0.000371677961298,Not Applicable,0,Designated,2004,Non-profit organisations,Not Applicable,Individual landowners,Not Applicable,Non-Governmental Organization,Not Reported,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Reported,Not Applicable
